Nombre del producto,Tipo de producto,Categoría,Florero,Contenedor,Material del contenedor,Colores,Insumos,Variantes_Tamaños,Dimensiones_Tamaños,Variantes_Ruedo,Variantes_Colores,Precio,precio_base,Cuidados
Amaryllis RED WAX,Bulbo de Amaryllis en cera,Bulbos de plantas y flores en Semillas,No,Sin florero (bulbo encerado),Cera roja,Flor roja o blanca,Amaryllis,,,,"Flor roja, Flor Blanca",Todas — $19.000,$19.000,"Esta versión de amaryllis es la solución para aquellos que no tienen 'dedos verdes'. ¡No hace falta riego! Así es, este recubrimiento en cera permite que el bulbo se nutra y guarde la humedad necesaria para poder florecer, así es que sólo debes disfrutar del espectáculo. RED WAX es porque su cera es roja, pero puedes elegir que el color de tu flor sea blanca o roja."
Amaryllis GOLD WAX,Bulbo de Amaryllis en cera,Bulbos de plantas y flores en Semillas,No,Sin florero (bulbo encerado),Cera dorada,Flor roja o blanca,Amaryllis,,,,"Flor roja, Flor blanca",Todas — $19.000,$19.000,"Esta versión de amaryllis es la solución para aquellos que no tienen 'dedos verdes'. ¡No hace falta riego! Así es, este recubrimiento en cera permite que el bulbo se nutra y guarde la humedad necesaria para poder florecer, así es que sólo debes disfrutar del espectáculo. GOLD WAX es porque su cera es dorada, pero puedes elegir que el color de tu flor sea blanca o roja."
Amaryllis WHITE WAX,Bulbo de Amaryllis en cera,Bulbos de plantas y flores en Semillas,No,Sin florero (bulbo encerado),Cera blanca,Flor roja o blanca,Amaryllis,,,,"Flor roja, Flor blanca",Todas — $19.000,$19.000,"Esta versión de amaryllis es la solución para aquellos que no tienen 'dedos verdes'. ¡No hace falta riego! Así es, este recubrimiento en cera permite que el bulbo se nutra y guarde la humedad necesaria para poder florecer, así es que sólo debes disfrutar del espectáculo. WHITE WAX es porque su cera es blanca, pero puedes elegir que el color de tu flor sea blanca o roja."
Corazón Verde,Arreglo floral decorativo,Flores en Plantas / Plantas con flores artificiales en Flora artificial,No,Decoración independiente (forma de corazón),Base floral / OASIS,Verde,Hortensias,,30 x 25 x 10 cm,,Verde,$46.000,$46.000,"Un arreglo que no necesita más palabras. ¿Cómo cuidarlo? Simple: mantener en lugares frescos, sin sol directo y bien hidratado. Preocúpate de mantenerlo siempre hidratado, proporcionándole agua con una regadera directamente al OASIS (material en donde se acomodan las flores). A diferencia de otras flores, a las hortensias les hace bien ser rociadas con agua, les da frescura y fuerza a sus miles de pequeñas 'sub-flores'."
Paris,Bouquet/Ramo,Flores recién cortadas en Regalos,No,Sin florero (ramo),Papel,Fucsia/rosa fuerte,Flores mixtas de temporada,,,,Fucsia/rosa fuerte,$48.000,$48.000,"Bouquet pensado precisamente para el día del amor. Mezclamos distintos tonos que transmitan ese cariño y pasión por la otra persona, que no necesariamente es un enamorado. Regalemos flores a todos quienes queremos: amantes, amigos y familia. Muchas personas creen que hay que quitarles la amarra para ponerlos en agua, pero ¡no! La gracia del bouquet es su forma redonda y apretada, y para llegar a ella una persona se puede demorar hasta 1 hora. Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
Escarla,Ramo,Flores recién cortadas en Regalos,No,Sin florero (ramo),Papel,Rojo/burdeo,Flores mixtas de temporada,,,,Rojo/burdeo,$58.000,$58.000,"Ramo pensado precisamente para el día del amor. Mezclamos distintos tonos que transmitan ese cariño y pasión por la otra persona, que no necesariamente es un enamorado! Regalemos flores a todos quienes queremos: amantes, amigos y familia. Muchas personas creen que hay que quitarles la amarra para ponerlos en agua, pero ¡no! Hay que ponerlo tal cual, sino pierde toda la forma y la manera precisa en que está puesta cada flor."
MEI Bologna,Arreglo floral,Flores recién cortadas en Regalos,Sí,Contenedor,Vidrio o cerámica,Morado/violeta con verdes,Flores mixtas de temporada,,40 x 50 cm,,Morado/violeta con verdes,$98.000,$98.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Cubo Andino,Arreglo floral,Flores en Plantas,Sí,Cubo,Vidrio o cerámica,Verde/amarillo,Alstromerias (colores a consultar),,30 x 25 cm,,Verde/amarillo,$38.000,$38.000,"Puedes consultar el colorido de alstromerias para elegir. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Cántaro,Arreglo floral,Flores en Plantas,Sí,Cántaro,Cerámica,Rosa/fucsia,Flores mixtas de temporada,,45 x 35 cm,,Rosa/fucsia,$43.000,$43.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Recuerda checkear que siempre esté con agua y nunca es malo ir cambiándola. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Frutteto Moon,Arreglo floral,Flores en Plantas,Sí,Contenedor,Vidrio o cerámica,Blanco/verde/rosa pálido,Flores mixtas de temporada,,60 x 60 cm,,Blanco/verde/rosa pálido,$148.000,$148.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Iris Milán,Arreglo floral,Flores en Plantas,Sí,Florero de vidrio,Vidrio,Azul o Blanco,Iris,,,,"Azul, Blanco",Todas — $64.000,$64.000,"¡Poner atención de que estén suficientemente hidratadas! Siempre es bueno sacarlas por la noche para que se refresquen y duren más debido a las calefacciones de las casas. Nunca poner el arreglo bajo el sol, cambia el agua del florero seguido y cada vez que lo hagas aprovecha de cortar un poco el tallo para asegurarte de que succionen de manera eficiente."
Paila griega,Arreglo floral,Flores en Plantas / Flores recién cortadas en Regalos,Sí,Paila,Metal o cerámica,Multicolor,Flores mixtas de temporada,"S, M, L","S: 35×40, M: 40×50, L: 45×55",,Multicolor,"S — $95.000, M — $110.000, L — $140.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Liliums en frutera,Planta en maceta (Lilium),Plantas de interior en macetas,Sí,Maceta/contenedor,Cerámica,Amarillo o Naranjo,Lilium,,50 x 25 cm,,"Amarillo, Naranjo",Todas — $38.000,$38.000,Regalar flores en planta se está convirtiendo en una muy buena opción para regalar debido a tener una vida útil más larga. Después de su floración se deben trasplantar a tierra para que drene el agua y el próximo año vuelvan a florecer.
Pie de Urna en blancos,Arreglo floral funerario (Pie de Urna),Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Base/canasto,Mimbre,Blanco,Flores mixtas blancas de temporada,"S, M, L, XL","S: 55×60, M: 65×70, L: 75×80, XL: 85×90",Medio ruedo 180°,Blanco,"S — $80.000, M — $100.000, L — $150.000, XL — $190.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Arreglo de condolencias de medio ruedo en tonos blancos. Base en canasto con fin de ser fácil de mover y transportar."
Boina 3L premium,Planta de orquídeas premium en maceta (3 litros),Flores en Plantas,Sí,Maceta,Cerámica o vidrio,Blanco,Orquídeas,,,,Blanco,$195.000,$195.000,"Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15°C, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis. La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año. Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas."
Boina 2L premium,Planta de orquídeas premium en maceta (2 litros),Plantas de interior en macetas en Plantas de interior y exterior,Sí,Maceta,Cerámica o vidrio,Blanco,Orquídeas,,,,Blanco,$160.000,$160.000,"Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15°C, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis. La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año. Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas."
Multiflora,Planta de orquídeas en maceta,Flores en Plantas,Sí,Maceta,Cerámica o vidrio,Rosa/fucsia,Orquídeas,,,,Rosa/fucsia,$65.000,$65.000,"Las orquídeas deben recibir mucha luz, pero igual que en la naturaleza, debe ser de manera indirecta para evitar quemaduras solares. La planta debe ser regada solo una vez que el musgo se encuentre seco (cada 10 - 15 días dependiendo de su humedad). En caso de que haya un exceso en el riego, es importante retirar el agua sobrante. En invierno es recomendable regar entre 11 y 14 hrs. Si la temperatura es menor a 15°C, es mejor no regar. Por otra parte, otro consejo importante para mantener a las orquídeas sanas es utilizar un recipiente transparente, de forma que sus raíces también reciban la luz solar y puedan llevar a cabo la fotosíntesis. La floración es una vez al año y puede durar entre 2 a 4 meses. Una vez que todas sus flores se sequen, debes cortar los tallos justo por debajo de ellas, ya que esos serán los brotes del próximo año. Tip: Si tienes sustrato especial para orquídeas sugerimos (una vez que haya acabado su floración) abonarle unas gotitas cada dos semanas."
Bandeja Red,Arreglo floral artificial,Plantas con flores artificiales en Flora artificial,Sí,Bandeja,Madera o cerámica,Rojo,Rosas artificiales,,18 x 30 x 30 cm,,Rojo,$85.000,$85.000,"Las rosas son flores super resistentes que pueden llegar a durar hasta 15 días dependiendo de su variedad y de los cuidados que le proporcionemos. ¿Cómo cuidarla? Simple: mantener en lugares frescos, sin sol directo y bien hidratadas. Fíjate de que su florero tenga siempre agua al menos hasta la mitad, y cuando debas rellenarlo no lo hagas por sobre la flor, estas no deben ser 'regadas' ni rociadas, hazlo por un espacio que vaya directamente al OASIS (material en donde se acomodan las flores)."
Corazón de rosas,Arreglo decorativo en forma de corazón,Flora artificial en Decoración,No,Decoración independiente,Base floral / OASIS,Rojo,Rosas,,35 x 35 x 13 cm,,Rojo,$80.000,$80.000,"Un arreglo que no necesita más palabras. ¿Cómo cuidarlo? Simple: mantener en lugares frescos, sin sol directo y bien hidratadas. Preocúpate de mantenerlo siempre hidratado, proporcionándole agua con una regadera directamente al OASIS (material en donde se acomodan las flores)."
Tulipanes x 25,Ramo de tulipanes (25 varas),Flores en Plantas,No,Sin florero,—,Rojo (según foto),25 tulipanes,,,,Variable (consultar),$57.000,$57.000,"Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol. Consulta las opciones de colores disponibles."
Amaryllis box,Planta de Amaryllis en maceta,Flores en Plantas,Sí,Maceta con drenaje,Plástico,Rojo,Amaryllis,,,,Rojo,$18.000,$18.000,"Esta es una muy buena opción para quienes quieran gastar menos. Además es un regalo que perdura en el tiempo, ya que florecen todos los años si pasan de bulbo a tierra o a un macetero con drenaje (con un hoyo). Para una mejor duración debes mantenerlos en lugares frescos -nunca con luz directa o cerca de una fuente de calor- y el riego depende de la humedad de la tierra. ¡Disfruta del espectáculo! *Viene 1 bulbo en macetero plástico; puedes traspasarlo a un florero mientras dure su floración o simplemente sobreponerlo en algún recipiente. La presentación es igual a la foto."
Florero book + Tulipanes,Florero + Tulipanes,Flores en Plantas,Sí,Florero de acrílico tipo libro,Acrílico,Rojo (según foto),12 tulipanes aprox,,Florero: 20 x 15 x 4 cm,,Variable (consultar),$43.000,$43.000,"¡Seguro sorprenderás con este regalo! El florero es hecho en acrílico y va acompañado de 12 varas de tulipanes aproximadamente. Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol. Ojo que hay que consultar el colorido disponible."
Florero Book,Florero/Insumo,Floreros en Decoración,Sí,Florero de acrílico,Acrílico transparente,Transparente,—,,20 x 15 x 4 cm,,Transparente,$25.000,$25.000,"Florero transparente en forma de libro, material acrílico. Puedes usarlo con varias flores o simplemente ponerle una vara, de todas formas se ve elegante y lindo. Su tamaño es perfecto para darle un toque especial a cualquier rincón de tu casa, no ocupa mucho espacio y luce mucho. El florero no incluye flores."
Campana blanco y verde,Arreglo floral,Flores en Plantas,Sí,Contenedor,Vidrio o cerámica,Blanco y verde,Flores mixtas de temporada,,55 x 40 cm,,Blanco y verde,$84.000,$84.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Pie de Urna Ocaso,Arreglo floral funerario (Pie de Urna),Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Canasto rectangular con asa,Mimbre,"Crema, verdes y azules",Flores mixtas de temporada,"S, M, L, XL","S: 55×60, M: 65×70, L: 75×80, XL: 85×90",Medio ruedo 180°,"Crema, verdes y azules","S — $80.000, M — $100.000, L — $150.000, XL — $190.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Arreglo de condolencias de medio ruedo (180°) en elegantes tonos crema, verdes y azules. Cada arreglo viene en un canasto rectangular con asa, diseñado para facilitar su manipulación y transporte. Disponibles en cuatro tamaños diferentes para adaptarse a tus necesidades."
Canasto 360° sólo rosas,Canasto floral funerario 360°,Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Canasto,Mimbre,Blanco (rosas),Rosas únicamente,"S, M, L","S: 35×40, M: 45×50, L: 55×60",Ruedo completo 360°,Blanco,"S — $100.000, M — $140.000, L — $170.000",,"Este arreglo es de ruedo completo, lo que significa que está adornado con flores en todos sus lados, proporcionando una linda vista desde cualquier ángulo. Cuenta con un asa que facilita su transporte y movimiento. Este arreglo se compone únicamente de rosas. Disponemos de tres tamaños para adaptarnos a sus necesidades."
Canasto 360° en blancos,Canasto floral funerario 360°,Flores en Plantas / Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Canasto,Mimbre,Blanco,Flores mixtas blancas de temporada,"S, M, L","S: 35×40, M: 45×50, L: 55×60",Ruedo completo 360°,Blanco,"S — $55.000, M — $73.000, L — $92.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Este arreglo de condolencias en tonos blancos es de ruedo completo, lo que significa que está adornado con flores en todos sus lados, proporcionando una linda vista desde cualquier ángulo. Cuenta con un asa que facilita su transporte y movimiento. Disponemos de tres tamaños para adaptarnos a sus necesidades."
Sobre Urna en blancos y azules,Arreglo floral para urna,Flores en Plantas / Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,No,Diseñado para ponerse sobre urna,Base floral / OASIS,Blancos y azules,Flores mixtas de temporada,"S, M, L","S: 75×50, M: 100×50, L: 140×50",,Blancos y azules,"S — $100.000, M — $150.000, L — $280.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Este arreglo floral está diseñado para ponerse sobre la urna. Ofrecemos tres opciones de tamaño, variando únicamente en el largo. Las flores seleccionadas dependerán de la estación del año, sin embargo siempre se respetará el colorido de la composición de la foto."
Pie de Urna en blancos y celestes,Arreglo floral funerario (Pie de Urna),Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Canasto rectangular con asa,Mimbre,Blancos y azules claros,Flores mixtas de temporada,"S, M, L, XL","S: 55×60, M: 65×70, L: 75×80, XL: 85×90",Medio ruedo 180°,Blancos y azules claros,"S — $80.000, M — $100.000, L — $150.000, XL — $190.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Arreglo de condolencias de medio ruedo (180°), en elegantes tonos blancos y azules claros. Este arreglo lleva flores en su parte frontal, lo que nos da la capacidad de hacerlo con mayor altura. Cada arreglo viene en un canasto rectangular con asa, diseñado para facilitar su manipulación y transporte. Disponibles en cuatro tamaños diferentes para adaptarse a tus necesidades."
Sobre Urna Floresta,Arreglo floral para urna (tipo jardín),Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,No,Diseñado para ponerse sobre urna,Base floral / OASIS,Multicolor (estilo jardín),Flores mixtas de temporada,,100 × 50 cm,,Multicolor,$220.000,$220.000,"Este arreglo floral está diseñado específicamente para ponerse sobre la urna. Consta de dos partes, lo que permite darle una forma que simula un jardín, donde las flores están dispuestas verticalmente, imitando su crecimiento natural. Sólo existe un tamaño para este modelo. Las flores seleccionadas dependerán de la estación del año, sin embargo siempre se respetará el colorido de la composición de la foto."
Canasto 360° Serena,Canasto floral funerario 360°,Artículos para ceremonias conmemorativas en Elementos religiosos y ceremoniales,Sí,Canasto,Mimbre,Blancos y verdes,Flores mixtas de temporada,,55 × 60 cm,Ruedo completo 360°,Blancos y verdes,$205.000,$205.000,"Este arreglo en colores blancos y verdes es de ruedo completo, lo que significa que está adornado con flores en todos sus lados, proporcionando una linda vista desde cualquier ángulo. Cuenta con un asa que facilita su transporte y movimiento."
Libro LuciaJuana,Libro para colorear/Insumo,Papel para dibujo y pintura en Papel para manualidades,No,—,—,—,—,,30 × 45 cm,,—,$42.990,$42.990,"Ilustraciones para pintar, relajarte y decorar tu casa. La artista Lucía Balbontín lanzó la segunda edición de sus libros para colorear, y ahora están disponibles en nuestra tienda. En esta versión tamaño XL (30 x 45 cm), encontrarás 20 ilustraciones de flores, todas dibujadas a mano e impresas en papel duplex, ideal para acuarelas. ¡Atrévete a crear tu propia obra de arte para enmarcar! Cada hoja cuenta con prepicado para facilitar el proceso."
